PB.2694.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.2756.1	2	2	2.5	3.77930377666e-06	3.77930377666e-06	4.72412972082e-06
PB.2716.2	0	0	1.0	0.0	0.0	1.88965188833e-06
PB.2612.6	0	0	1.28333333333	0.0	0.0	2.42505325669e-06
PB.2612.4	25	43	49.2928571429	4.72412972082e-05	8.12550311982e-05	9.31463405811e-05
PB.2730.1	27	63	65.0	5.10206009849e-05	0.000119048068965	0.000122827372741
PB.2612.3	0	0	3.97619047619	0.0	0.0	7.51361584169e-06
PB.2750.2	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.2671.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.2697.1	2	5	5	3.77930377666e-06	9.44825944165e-06	9.44825944165e-06
PB.2798.1	3	7	7	5.66895566499e-06	1.32275632183e-05	1.32275632183e-05
PB.2644.2	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.2644.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.2632.1	25	36	36	4.72412972082e-05	6.80274679798e-05	6.80274679798e-05
PB.2744.2	5	5	7.66666666667	9.44825944165e-06	9.44825944165e-06	1.44873311439e-05
PB.2744.3	0	0	0.666666666667	0.0	0.0	1.25976792555e-06
PB.2610.4	1	1	2.31666666667	1.88965188833e-06	1.88965188833e-06	4.3776935413e-06
PB.2610.2	1	1	2.7	1.88965188833e-06	1.88965188833e-06	5.10206009849e-06
PB.2610.3	0	0	1.7	0.0	0.0	3.21240821016e-06
PB.2618.2	2	3	3.83333333333	3.77930377666e-06	5.66895566499e-06	7.24366557193e-06
PB.2857.1	7	8	9.5	1.32275632183e-05	1.51172151066e-05	1.79516929391e-05
PB.2853.17	0	0	1.16666666667	0.0	0.0	2.20459386972e-06
PB.2705.11	0	0	0.2	0.0	0.0	3.77930377666e-07
PB.2771.1	0	0	0.2	0.0	0.0	3.77930377666e-07
PB.2812.1	38	54	66.0	7.18067717565e-05	0.00010204120197	0.00012471702463
PB.2812.2	0	2	14.0	0.0	3.77930377666e-06	2.64551264366e-05
PB.2713.1	0	2	2	0.0	3.77930377666e-06	3.77930377666e-06
PB.2721.1	5	6	6.2	9.44825944165e-06	1.133791133e-05	1.17158417076e-05
PB.2853.12	0	0	1.47182539683	0.0	0.0	2.7812376404e-06
PB.2613.2	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.2613.1	10	11	11	1.88965188833e-05	2.07861707716e-05	2.07861707716e-05
PB.2677.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.2734.2	0	0	0.5	0.0	0.0	9.44825944165e-07
PB.2734.1	9	14	15.5	1.7006866995e-05	2.64551264366e-05	2.92896042691e-05
PB.2714.1	0	2	2	0.0	3.77930377666e-06	3.77930377666e-06
PB.2825.3	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.2825.4	1	1	1.5	1.88965188833e-06	1.88965188833e-06	2.83447783249e-06
PB.2718.2	0	0	0.5	0.0	0.0	9.44825944165e-07
PB.2689.4	0	0	5.58333333333	0.0	0.0	1.05505563765e-05
PB.2782.1	1	2	4.0	1.88965188833e-06	3.77930377666e-06	7.55860755332e-06
PB.2618.1	0	0	0.833333333333	0.0	0.0	1.57470990694e-06
PB.2668.2	0	0	1.5	0.0	0.0	2.83447783249e-06
PB.2636.1	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.2636.2	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.2652.1	5	6	6.5	9.44825944165e-06	1.133791133e-05	1.22827372741e-05
PB.2761.1	2	4	4	3.77930377666e-06	7.55860755332e-06	7.55860755332e-06
PB.2749.1	0	3	3	0.0	5.66895566499e-06	5.66895566499e-06
PB.2643.4	1	1	2.31666666667	1.88965188833e-06	1.88965188833e-06	4.3776935413e-06
PB.2643.5	1	1	1.65	1.88965188833e-06	1.88965188833e-06	3.11792561574e-06
PB.2643.6	1	3	6.98333333333	1.88965188833e-06	5.66895566499e-06	1.31960690202e-05
PB.2855.1	1	2	2	1.88965188833e-06	3.77930377666e-06	3.77930377666e-06
PB.2849.1	0	36	71.5	0.0	6.80274679798e-05	0.000135110110016
PB.2841.1	2	2	2	3.77930377666e-06	3.77930377666e-06	3.77930377666e-06
PB.2635.1	7	17	17	1.32275632183e-05	3.21240821016e-05	3.21240821016e-05
PB.2607.1	5	7	8.5	9.44825944165e-06	1.32275632183e-05	1.60620410508e-05
PB.2710.1	4	6	6	7.55860755332e-06	1.133791133e-05	1.133791133e-05
PB.2700.1	0	1	1	0.0	1.88965188833e-06	1.88965188833e-06
PB.2835.1	1	1	1	1.88965188833e-06	1.88965188833e-06	1.88965188833e-06
PB.2815.1	3	4	4	5.66895566499e-06	7.55860755332e-06	7.55860755332e-06
PB.2829.2	2	2	5.66666666667	3.77930377666e-06	3.77930377666e-06	1.07080273672e-05
