pbid	count_fl	count_nfl	count_nfl_amb	abundance_fl	abundance_nfl	abundance_nfl_amb
PB.577.2	0	0	10.5	0.0	0.0	2.13850158249e-05
PB.5575.1	8	13	16.0	1.62933453904e-05	2.64766862594e-05	3.25866907808e-05
PB.2110.1	3	12	12	6.1100045214e-06	2.44400180856e-05	2.44400180856e-05
PB.5575.2	2	2	5.0	4.0733363476e-06	4.0733363476e-06	1.0183340869e-05
PB.3742.3	0	0	1.66666666667	0.0	0.0	3.39444695634e-06
PB.3742.2	1	1	2.75	2.0366681738e-06	2.0366681738e-06	5.60083747795e-06
PB.3742.1	0	2	3.58333333333	0.0	4.0733363476e-06	7.29806095612e-06
PB.6488.1	19	25	29.3333333333	3.86966953022e-05	5.0916704345e-05	5.97422664315e-05
PB.3742.6	0	0	2.66666666667	0.0	0.0	5.43111513014e-06
PB.3742.5	4	4	5.75	8.1466726952e-06	8.1466726952e-06	1.17108419994e-05
PB.6488.2	2	2	6.0	4.0733363476e-06	4.0733363476e-06	1.22200090428e-05
PB.5555.5	1	1	2.15	2.0366681738e-06	2.0366681738e-06	4.37883657367e-06
PB.5555.4	1	1	1.4	2.0366681738e-06	2.0366681738e-06	2.85133544332e-06
PB.5555.3	0	0	0.65	0.0	0.0	1.32383431297e-06
PB.5307.2	2	12	14.3333333333	4.0733363476e-06	2.44400180856e-05	2.91922438245e-05
PB.5555.1	1	1	1.65	2.0366681738e-06	2.0366681738e-06	3.36050248677e-06
PB.1280.1	0	1	1	0.0	2.0366681738e-06	2.0366681738e-06
PB.4086.1	0	1	1	0.0	2.0366681738e-06	2.0366681738e-06
PB.4689.1	0	2	2	0.0	4.0733363476e-06	4.0733363476e-06
PB.4294.2	0	8	30.25	0.0	1.62933453904e-05	6.16092122575e-05
PB.2476.1	37	43	43.5	7.53567224306e-05	8.75767314734e-05	8.85950655603e-05
PB.3372.2	0	1	1	0.0	2.0366681738e-06	2.0366681738e-06
PB.250.1	0	0	1.16666666667	0.0	0.0	2.37611286943e-06
PB.2593.1	0	0	0.5	0.0	0.0	1.0183340869e-06
PB.5794.1	8	40	75.4551587302	1.62933453904e-05	8.1466726952e-05	0.000153677120335
PB.5794.2	17	18	36.0913059163	3.46233589546e-05	3.66600271284e-05	7.35060141107e-05
PB.5794.3	0	0	3.81111111111	0.0	0.0	7.76196870682e-06
PB.2975.8	21	29	34.5333333333	4.27700316498e-05	5.90633770402e-05	7.03329409353e-05
PB.5283.10	2	2	2.14285714286	4.0733363476e-06	4.0733363476e-06	4.36428894386e-06
PB.5794.6	19	20	36.3817821068	3.86966953022e-05	4.0733363476e-05	7.4097617723e-05
PB.5794.7	0	0	1.16666666667	0.0	0.0	2.37611286943e-06
PB.2975.4	15	16	20.5	3.0550022607e-05	3.25866907808e-05	4.17516975629e-05
PB.2975.5	30	36	41.6833333333	6.1100045214e-05	7.33200542568e-05	8.48951183779e-05
PB.2975.6	0	0	1.4	0.0	0.0	2.85133544332e-06
PB.2975.7	2	3	3.7	4.0733363476e-06	6.1100045214e-06	7.53567224306e-06
PB.2975.1	1	1	1	2.0366681738e-06	2.0366681738e-06	2.0366681738e-06
PB.2975.2	1	2	3.4	2.0366681738e-06	4.0733363476e-06	6.92467179092e-06
PB.2975.3	11	13	15.35	2.24033499118e-05	2.64766862594e-05	3.12628564678e-05
PB.6291.1	4	5	5	8.1466726952e-06	1.0183340869e-05	1.0183340869e-05
PB.5846.1	1	1	1.5	2.0366681738e-06	2.0366681738e-06	3.0550022607e-06
PB.6006.3	0	1	1.33333333333	0.0	2.0366681738e-06	2.71555756507e-06
PB.4094.1	4	57	57.5	8.1466726952e-06	0.000116090085907	0.000117108419994
PB.6006.1	1	1	1.33333333333	2.0366681738e-06	2.0366681738e-06	2.71555756507e-06
PB.3706.2	0	6	7.0	0.0	1.22200090428e-05	1.42566772166e-05
PB.5569.1	7	14	14	1.42566772166e-05	2.85133544332e-05	2.85133544332e-05
PB.3289.1	2	2	2	4.0733363476e-06	4.0733363476e-06	4.0733363476e-06
